#datum;m_tnn;m_tnnd;m_tna;m_dtn0;m_dtn10;m_dtn20
1938-01;-17.3;1938-01-06;-3.0;15;6;0
1938-02;-4.3;1938-02-20;-0.9;21;0;0
1938-03;-3.7;1938-03-14;4.4;3;0;0
1938-04;-0.8;1938-04-12;4.7;2;0;0
1938-05;2.5;1938-05-05;10.2;0;0;0
1938-06;10.3;1938-06-01;16.0;0;0;4
1938-07;12.0;1938-07-11;16.8;0;0;3
1938-08;10.3;1938-08-25;16.5;0;0;4
1938-09;5.8;1938-09-18;10.6;0;0;0
1938-10;3.8;1938-10-22;9.2;0;0;0
1938-11;-1.3;1938-11-20;4.8;1;0;0
1938-12;-12.8;1938-12-27;-2.0;17;3;0
1939-01;-8.0;1939-01-01;-1.0;16;0;0
1939-02;-4.8;1939-02-02;0.1;15;0;0
1939-03;-4.1;1939-03-14;0.5;16;0;0
1939-04;2.0;1939-04-02;8.3;0;0;0
1939-05;7.5;1939-05-06;11.5;0;0;0
1939-06;11.2;1939-06-07;15.4;0;0;0
1939-07;10.6;1939-07-26;16.4;0;0;3
1939-08;12.9;1939-08-31;16.7;0;0;1
1939-09;2.1;1939-09-29;11.7;0;0;0
1939-10;0.4;1939-10-31;7.2;0;0;0
1939-11;-0.9;1939-11-23;4.5;3;0;0
1939-12;-12.8;1939-12-29;-1.4;19;4;0
1940-01;-17.7;1940-01-21;-10.2;31;15;0
1940-02;-18.1;1940-02-15;-8.5;27;13;0
1940-03;-8.8;1940-03-08;-1.0;17;0;0
1940-04;-1.5;1940-04-01;6.7;4;0;0
1940-05;3.1;1940-05-14;10.5;0;0;0
1940-06;11.1;1940-06-01;15.2;0;0;0
1940-07;11.3;1940-07-30;15.9;0;0;0
1940-08;9.5;1940-08-31;13.4;0;0;0
1940-09;7.2;1940-09-13;11.8;0;0;0
1940-10;1.0;1940-10-29;7.4;0;0;0
1940-11;-1.4;1940-11-10;5.3;3;0;0
1940-12;-13.2;1940-12-15;-5.9;29;7;0
1941-01;-14.5;1941-01-30;-4.9;24;5;0
1941-02;-5.4;1941-02-01;-0.2;18;0;0
1941-03;-4.7;1941-03-18;2.8;5;0;0
1941-04;0.0;1941-04-12;6.7;1;0;0
1941-05;2.0;1941-05-09;9.2;0;0;0
1941-06;8.1;1941-06-13;13.6;0;0;1
1941-07;12.8;1941-07-03;16.2;0;0;2
1941-08;10.4;1941-08-09;15.0;0;0;1
